time_s,target_FL,target_FR,target_RL,target_RR,actual_FL,actual_FR,actual_RL,actual_RR
0.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
